 Animal_Type,Count,Region,Area_Required_sqft,Water_Supply_Liters_per_day,Feed_Type,Feed_Quantity_kg_per_week,Vaccination_Schedule,Practice_Guidance
Cow,1,North,690,167,"Maize, Fish Meal, Lucerne, Gram Husk",43,"FMD, HS, BQ","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Keep shelter elevated and dry."
Cow,11,North,6259,2145,"Lucerne, Gram Husk, Maize, Fish Meal",341,"ET, PPR","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Keep shelter elevated and dry."
Cow,21,North,8022,5124,"Cottonseed Cake, Sorghum, Maize, Fish Meal",693,Blue Tongue,"Summer: Use sprinklers or fans to reduce heat stress.
Winter: Increase high-energy feed for warmth.
Rainy: Use dry fodder to prevent spoilage."
Cow,31,North,23219,3038,"Wheat Bran, Mustard Cake, Groundnut Cake, Paddy Straw",930,Blue Tongue,"Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Keep shelter elevated and dry."
Cow,41,North,26527,7339,"Lucerne, Gram Husk, Cottonseed Cake, Sorghum",492,"ET, PPR","Summer: Feed light, high-moisture content food.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Ensure proper drainage to avoid infections."
Cow,51,North,29733,3519,"Cottonseed Cake, Sorghum, Groundnut Cake, Paddy Straw",663,"FMD, HS, BQ","Summer: Provide ample shade and cooling water.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Keep shelter elevated and dry."
Cow,61,North,30866,16531,"Cottonseed Cake, Sorghum, Lucerne, Gram Husk",2806,"FMD, HS, BQ","Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Ensure proper drainage to avoid infections."
Cow,71,North,45795,9159,"Groundnut Cake, Paddy Straw, Maize, Fish Meal",1491,"Newcastle, Fowl Pox","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Increase high-energy feed for warmth.
Rainy: Ensure proper drainage to avoid infections."
Cow,81,North,38070,5265,"Groundnut Cake, Paddy Straw, Wheat Bran, Mustard Cake",2268,"FMD, HS, BQ","Summer: Provide ample shade and cooling water.
Winter: Increase high-energy feed for warmth.
Rainy: Ensure proper drainage to avoid infections."
Cow,91,North,26026,22022,"Groundnut Cake, Paddy Straw, Wheat Bran, Mustard Cake",2730,"ET, PPR","Summer: Feed light, high-moisture content food.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Keep shelter elevated and dry."
